City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Sambava,MG,-14.2667,50.1667,74.23,86,100,9.33,overcast clouds
247,Sistranda,NO,63.7256,8.834,46.36,81,95,7.43,overcast clouds
248,Orlik,RU,52.5178,99.825,40.21,57,97,3.02,overcast clouds
249,Southampton,GB,50.904,-1.4043,52.81,82,5,6.38,clear sky
250,Zonguldak,TR,41.25,31.8333,45.36,96,100,2.8,overcast clouds
251,Port Shepstone,ZA,-30.7414,30.455,65.41,81,96,4.81,light rain
252,San Patricio,US,28.017,-97.5169,78.89,85,51,7.54,broken clouds
253,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,76,100,15.5,overcast clouds
254,Lavrentiya,RU,65.5833,-171.0,31.77,97,100,15.03,light snow
255,Caravelas,BR,-17.7125,-39.2481,77.85,64,100,10.67,overcast clouds
256,Komsomolskiy,UZ,40.4272,71.7189,61.52,44,29,6.91,scattered clouds
257,Benguela,AO,-12.5763,13.4055,76.44,89,100,2.93,light rain
258,Saint-Augustin,CA,51.226,-58.6502,34.21,99,100,12.95,snow
259,College,US,64.8569,-147.8028,41.09,23,2,3.0,clear sky
260,Tiksi,RU,71.6872,128.8694,5.5,96,95,4.68,overcast clouds
261,Bontang,ID,0.1333,117.5,83.79,73,56,8.57,broken clouds
262,Tamworth,GB,52.634,-1.6959,51.93,83,41,3.0,scattered clouds
263,Bambous Virieux,MU,-20.3428,57.7575,75.22,94,75,1.14,thunderstorm with rain
264,Mataram,ID,-8.5833,116.1167,86.81,75,98,3.85,overcast clouds
265,Loreto,MX,22.2667,-101.9667,77.7,11,20,9.08,few clouds
266,Asfi,MA,32.2994,-9.2372,63.3,82,98,11.05,overcast clouds
267,Candido Mendes,BR,-1.4467,-45.7167,74.71,95,100,0.78,overcast clouds
268,Cooma,AU,-36.2333,149.1333,64.17,59,100,8.05,light rain
269,Vao,NC,-22.6667,167.4833,77.09,70,46,5.7,scattered clouds
270,Yumen,CN,40.2833,97.2,50.31,21,0,8.75,clear sky
271,Bara,NG,10.3744,10.7288,79.56,66,100,6.02,light rain
272,Nizhniy Baskunchak,RU,48.2198,46.8311,53.53,67,94,7.65,overcast clouds
