City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
525,Port Moresby,PG,85.51,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
526,Luwuk,ID,86.09,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
529,Buchanan,LR,78.51,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
535,Macapa,BR,75.88,overcast clouds,0.0389,-51.0664,Atalanta Hotel
537,Nelson Bay,AU,79.09,few clouds,-32.7167,152.15,Mantra Nelson Bay
547,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
549,Matara,LK,82.02,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
556,Omboue,GA,77.29,light rain,-1.5746,9.2618,Hotel Olako
557,Konde,TZ,77.47,light rain,-4.95,39.75,
564,Acarau,BR,78.48,scattered clouds,-2.8856,-40.12,castelo pizzaria
568,Trenggalek,ID,86.36,scattered clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
569,Salinopolis,BR,77.77,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
575,Naifaru,MV,83.46,broken clouds,5.4444,73.3657,Naifaru Residence Guest House
577,Berbera,SO,81.23,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
582,Kuliyapitiya,LK,76.68,broken clouds,7.4688,80.0401,Rest House
584,Tual,ID,83.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
591,Kroya,ID,84.87,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
596,Pokhara,NP,83.64,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
597,Ontario,US,77.76,clear sky,34.0633,-117.6509,Capri Motel
599,Henderson,US,85.19,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
600,Port Keats,AU,90.21,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
601,Atar,MR,85.69,overcast clouds,20.5169,-13.0499,Oumou Elghoura
603,Biltine,TD,86.95,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
607,Kathu,TH,85.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
611,Tansen,NP,76.82,few clouds,27.8673,83.5467,Taksar Stay
614,Gizo,SB,84.47,scattered clouds,-8.103,156.8419,Imagination Island
618,Axim,GH,78.67,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
621,Noumea,NC,82.99,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
622,Aquiraz,BR,82.18,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
623,Karachi,PK,80.42,smoke,24.9056,67.0822,Sadaat
624,Mawlaik,MM,87.35,clear sky,23.6333,94.4167,AKZ Guest House
626,Harper,LR,77.47,overcast clouds,4.375,-7.7169,Screensaver
627,Bongor,TD,88.14,broken clouds,10.2806,15.3722,Oryx Palace
633,Vavuniya,LK,77.58,broken clouds,8.7514,80.4971,Thampa Hotel
634,Tutoia,BR,77.61,overcast clouds,-2.7619,-42.2744,Pousada Guará's
635,Puerto Madero,MX,82.6,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
636,Amalapuram,IN,84.0,broken clouds,16.5833,82.0167,swayamprabha service apartments
637,Hobyo,SO,82.8,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
641,Edd,ER,82.08,clear sky,13.9297,41.6925,
643,Nhulunbuy,AU,79.41,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
649,Sarangani,PH,82.62,broken clouds,5.4033,125.4636,Ballistic Islet
652,Buala,SB,83.16,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
658,Aitape,PG,83.48,moderate rain,-3.1374,142.3475,
